name;price;master_id;client_id
Майя;7000;71;7350
Июль;11000;2608;492
Светлана;1000;1764;6155
Мария;22500;2585;7025
Июнь;3750;461;1297
Желтый;15000;993;6812
Юлия;7500;2939;7352
Золотой;21250;325;1519
Татьяна;7500;2309;538
Апрель;12000;2004;7195
Хаки;27000;2133;2191
Лазурный;10000;1330;2714
Евгения;20000;698;6406
Март;19000;247;3758
Октябрь;3000;2473;1366
Любовь;12000;504;1299
Цвет морской волны;11000;1574;631
Январь;18750;1641;1955
Февраль;7500;389;3722
Январь;18000;990;5831
Октябрь;22500;2760;6117
Бледно-зеленый;3750;1064;3524
Август;10000;744;6695
Анна;3000;2633;1917
Синий;19000;702;1642
Глафира;9750;1097;2870
Виктория;9000;645;7417
Темно-розовый;4000;2155;2551
Ангелина;14250;886;3750
Бледно-Бирюзовый;21000;1255;932
Полина;14250;355;3959
Юлия;7500;901;2059
Февраль;13750;1782;6933
Темно-зеленый;9000;2832;2070
Июнь;17500;990;3338
Февраль;6750;2718;7251
Каштановый;3000;1705;6289
Июль;9750;1076;1348
Бежевый;13750;2413;2187
Сентябрь;20000;2757;5460
Хаки;15000;2544;6864
Ноябрь;10000;480;1460
Темно-бирюзовый;8000;975;3886
Черный;4500;927;2549
Январь;12500;1750;6869
Виктория;10000;2839;3184
Наталья;1250;2132;5236
Апрель;10000;682;4363
Синий;25000;1160;2810
Март;500;2792;1599
Темно-голубой;1000;6;5178
Елизавета;11250;1866;5020
Март;21250;2448;2459
Виктория;4500;2134;607
Ирина;16500;1479;4739
Июнь;10000;1601;6283
Феврония;28500;2782;1402
Виктория;21250;1541;2839
Розовато-лавандовый;500;1863;5000
Светло-серый;750;988;6554
Розовый;1500;1462;5627
Черный;30000;1080;6176
Хаки;9000;1905;3467
Лукия;12500;2857;4783
Август;5000;2076;3013
Елизавета;30000;332;6006
Надежда;11250;199;1138
Алла;1500;914;422
Коралловый;19000;547;4160
Ираида;8500;301;4261
Июль;2250;876;4346
Июль;7500;2511;1565
София;9500;245;701
Ноябрь;13000;1848;4828
Сентябрь;10500;851;2992
Евфросиния;15000;1317;1897
Июнь;10000;2086;5243
Евдокия;20000;590;4843
Шоколадный;7000;1598;4628
Серебряный;28500;956;5287
Февраль;11000;2077;6250
Октябрь;12000;2480;6134
Июнь;24000;1258;6956
Сентябрь;18000;2452;4730
Декабрь;9000;277;3610
Светло-голубой;3000;1591;5294
Ирина;3750;1512;713
Март;1000;2623;1423
Июль;14250;2829;6967
Май;3750;1564;125
Фаина;5000;638;3022
Юлия;8500;1412;1475
Бледно-Бирюзовый;10000;584;4574
Сентябрь;2000;1964;2217
Июнь;7500;1014;2103
Прасковья;12500;581;6907
Декабрь;25000;1371;6879
Прасковья;5500;1324;4849
Ия;10500;598;5961
Анастасия;500;361;4728
Январь;2500;346;7010
Февраль;5250;2865;555
Ульяна;2000;1856;1198
Раиса;4000;282;3252
Елена;8000;2318;6740
Тамара;4500;1436;266
Евфросиния;7000;632;7151
Сентябрь;15000;2379;6040
Синий;16000;1210;1738
Любовь;19000;2580;7198
Зеленый;12000;368;6914
Валерия;5000;292;5306
Желтый;20000;1958;739
Фиолетовый;9750;1277;2468
Январь;13500;707;973
Апрель;15000;2944;6486
Цвет морской волны;13500;182;1880
Регина;18000;1073;4781
Темно-розовый;5500;738;7769
Темно-розовый;6000;2598;1895
Декабрь;5500;1143;7745
Нинель;22500;1456;1104
Ноябрь;15000;1670;3481
Хаки;14000;2868;4403
Регина;15000;2171;3862
Июль;18750;90;4636
Золотой;7500;1267;5612
Зеленый;15000;1865;1562
Ольга;9000;1259;4688
Нинель;30000;1084;638
Июль;9000;1924;5115
Валерия;21000;986;6844
Пурпурный;20000;2322;6322
Январь;9000;1844;7769
Октябрь;12750;1041;6092
Светло-голубой;23750;1715;12
Феврония;13750;238;7403
Ульяна;6000;1740;6036
Светло-розовый;750;1668;926
Ирина;10000;1548;472
Вера;16000;2599;1405
Декабрь;3750;511;3120
Желтый;13500;2732;7008
Июль;19500;265;638
Нинель;15000;504;4589
Наина;15000;2683;6733
Июнь;9750;488;871
Индиго;3750;911;2905
Сентябрь;15000;1888;1092
Анжела;9000;1756;3561
Июль;11250;655;4048
Светлана;17000;1016;4201
Июль;5000;1101;2043
Оранжевый;19000;2000;146
Май;9000;578;6104
Нина;3000;1650;7811
Лидия;6250;1685;4002
Лора;4000;1165;7488
Светло-голубой;3750;579;3600
Июнь;18000;13;346
Бледно-Бирюзовый;3000;100;7959
Прасковья;3000;2182;5163
Март;1500;2449;1887
Светло-розовый;4000;792;7040
Декабрь;9000;1369;2693
Александра;1500;1572;5790
Дарья;22500;597;6952
Ноябрь;28500;712;4043
Слоновая кость;1000;405;4076
Феврония;7000;2232;3997
Июль;17500;1673;1820
Бирюзовый;5000;2418;5465
Акулина;11250;2533;824
Золотой;500;1341;7697
Октябрина;5250;2865;1313
Ноябрь;10000;1089;4275
Ираида;9000;1583;6301
Елизавета;9500;29;7583
Сентябрь;3750;1550;5962
Евгения;4000;1288;3305
Александра;3000;657;3721
Индиго;9000;798;499
Слоновая кость;22500;103;7708
Январь;5000;2310;7917
Сентябрь;6000;2763;5364
Декабрь;1500;1942;393
Апрель;20000;1257;7926
Октябрь;14000;619;6792
Евпраксия;21000;1913;858
Ирина;25500;1986;578
Черный;10000;2947;2806
Оранжево-красный;5000;1317;7830
Людмила;4500;655;5950
Каштановый;2500;2789;377
Дарья;11250;2939;2873
Надежда;11250;717;626
Шоколадный;1000;2896;989
Алла;4500;942;2159
Сентябрь;9000;1946;5299
Май;3750;2268;5227
Анжелика;8750;1056;5741
Апрель;18000;995;6251
Тусклый серый;2250;1910;3029
Май;9750;2771;938
Апрель;4500;980;4549
Цвет морской волны;1500;1587;4828
Февраль;6750;64;5339
Вероника;2000;617;5835
Март;2500;2023;2433
Май;6500;732;1310
Январь;4500;2679;293
Мария;9750;525;633
Апрель;1500;696;3587
Бледно-Бирюзовый;4500;2765;1541
Декабрь;6500;1526;5996
Светло-серый;16250;2704;2178
Эмилия;6000;2129;4448
Тусклый серый;5000;95;3894
Васильковый;12000;1447;734
Юлия;13500;1861;6582
Светло-голубой;7000;2953;4227
Ноябрь;3000;1520;765
Март;8500;1068;7934
Вероника;22500;287;5275
Светло-розовый;5500;1123;3623
Октябрь;1250;1415;366
Лора;12500;1582;6575
Светло-серый;13500;1320;5851
Февраль;3000;61;1949
Черный;18000;1023;5986
Дарья;13750;745;4459
Бирюзовый;12000;1858;2960
Светлана;4000;2134;1833
Июль;11250;84;102
Май;11250;725;316
Синклитикия;24000;144;2563
Сентябрь;15000;1960;5609
Зоя;25000;1488;5652
Виктория;25000;1107;3468
Иванна;10000;2590;5594
Светло-голубой;3000;2708;4912
Темно-красный;18000;217;2466
Январь;12000;1322;3934
Лазурный;30000;2316;3192
Сентябрь;4500;2249;1732
Эмилия;25500;1431;5937
Анастасия;16000;2447;3873
Розовый;3000;2260;2251
Декабрь;10500;801;359
Декабрь;10000;1828;2835
Февраль;12500;1605;6756
Золотой;15000;253;7808
Светло-зеленый;14250;2602;5947
Евпраксия;9500;2898;5076
Февраль;9000;1935;5306
Прасковья;14000;374;7739
Ноябрь;7500;2970;4773
Октябрь;4500;442;3086
Людмила;2000;531;2506
Октябрь;16250;1361;6181
Елена;9000;2132;6825
Черный;13500;1079;5149
Сентябрь;22500;181;2023
Юлия;5000;2185;551
Белый;16000;2349;2233
Темно-фиолетовый;12000;1189;5751
Пурпурный;9000;1425;3966
Октябрь;20000;2831;737
Элеонора;13000;2463;7320
Апрель;13500;2405;5731
Июнь;3000;1532;2568
Клавдия;4500;307;4856
Золотой;6250;1889;7963
Синий;3750;1248;2651
Январь;2000;1563;771
Ия;6250;2625;7043
Зеленый;12000;2431;6960
Сентябрь;9000;1961;5649
Нинель;8250;1739;4641
Надежда;28500;2634;6972
Январь;4000;1542;5065
Бледно-зеленый;3000;1839;5546
Желтый;4000;696;2581
Апрель;3000;2588;3824
Бежевый;7000;1339;4696
Темно-оранжевый;4500;214;4808
Зинаида;7000;1526;3785
Август;3000;1500;7495
Анна;1000;2033;523
Октябрь;28500;633;5385
Май;12000;1932;1934
Серебряный;9000;1324;5017
Екатерина;8500;2387;4056
Полина;15000;2229;1569
Каштановый;5000;2323;4267
Светло-синий;28500;2680;1271
Ирина;6250;2319;3702
Июнь;2500;961;7156
Октябрь;15000;2112;5520
Оранжевый;3000;1516;3923
Февраль;5500;1368;6192
Синий;6750;2107;1110
Индиго;9000;2344;1489
Июль;3000;2943;327
Синий;3000;849;5211
Фиолетовый;17500;2165;6252
Октябрь;10000;1203;6505
Евдокия;4000;1542;108
Людмила;21000;2060;4223
Античный Белый;1500;1870;5484
Зоя;6500;1985;6719
Регина;3750;1940;2027
Светло-розовый;24000;2217;1480
Июль;17500;1451;4356
Коралловый;5250;546;4763
Желтый;1500;1002;6885
Елена;1250;1583;6500
Апрель;750;137;820
Ольга;1500;2542;953
Ирина;8000;2847;455
Лидия;10000;1805;4404
Светло-синий;12500;1203;1092
Алла;6500;2020;3200
Темно-бирюзовый;1500;1811;4267
Март;11000;2711;6548
Темно-розовый;11250;1366;5756
Август;9500;2714;226
Ия;15000;1496;1935
Июль;15000;1975;2378
Темно-фиолетовый;3000;309;2758
Темно-голубой;5500;462;4773
Февраль;11250;702;5373
Иванна;25000;324;7847
Людмила;12000;834;2100
Евпраксия;9000;820;6081
Шоколадный;19000;2202;3893
Июль;13000;1935;2721
Сентябрь;3000;2556;6606
Варвара;15000;265;1014
Бледно-зеленый;18750;1247;6041
Лора;3000;227;3649
Светло-розовый;15000;1733;3311
Светло-серый;12000;717;7991
Евгения;4500;2466;2360
Антонина;16250;1698;1349
Надежда;15000;2250;3529
Дарья;2250;1350;3469
Ноябрь;25000;2622;2183
Март;7000;994;3586
Анжела;7000;2587;6377
Февраль;9000;224;7847
Ирина;24000;334;3464
Февраль;7500;1575;4016
Светло-зеленый;2500;2914;273
Индиго;13500;128;3049
Евпраксия;11250;1487;2544
Ирина;2000;1676;6652
Май;9000;241;5417
Март;25000;136;7152
Слоновая кость;6000;478;4506
Темный хаки;11250;1984;648
Декабрь;10000;2458;1287
Июль;6000;3000;8
Сине-фиолетовый;12000;78;5611
Дарья;4500;812;3936
Индиго;9750;1645;994
Февраль;7000;1834;4791
Золотой;4500;1862;7818
Лидия;9000;2994;2366
Евпраксия;4000;2655;7873
Розовато-лавандовый;750;1056;4079
Бирюзовый;9000;500;2899
Темно-синий;1000;563;7038
Декабрь;2000;2803;4872
Март;9750;1696;3741
Октябрь;15000;2671;3680
Лазурный;30000;2034;5101
Светло-синий;22500;1052;7303
Аквамарин;22500;2607;3202
Желтый;9500;944;816
Темно-розовый;1500;1949;3397
Темно-зеленый;15000;1991;3301
Шоколадный;6000;298;7917
Розовато-лавандовый;13500;1823;177
Ярко-розовый;7000;341;3815
Дарья;5250;2435;6805
Галина;12000;1239;3523
Сливовый;16000;270;681
Февраль;3000;2261;2708
Декабрь;23750;466;1208
Мария;24000;1805;4876
Белый;1500;1079;3957
Глафира;18000;2573;7606
Розовый;27000;915;2780
Акулина;5000;1465;5614
Темно-оранжевый;5250;176;4302
Васильковый;2500;2032;1731
Март;1500;1803;3639
Таисия;15000;2970;2573
Август;6000;1382;3286
Серебряный;19500;1503;257
Шоколадный;27000;233;5585
Ольга;19500;536;5952
Марина;18750;2851;6861
Феврония;12500;768;4665
Бирюзовый;14000;556;2489
Август;3000;1066;5151
Розовато-лавандовый;21250;141;5933
Пурпурный;4500;1013;5379
Алина;10500;747;3702
Темно-синий;20000;54;2632
Вероника;21000;3;7876
Анна;2500;1876;7728
Август;15000;1845;659
Черный;10500;1196;5689
Серебряный;10500;2999;2022
Октябрь;12500;687;7800
Май;7000;2778;6836
Тамара;6000;2538;4951
Январь;1500;2780;2192
Апрель;11250;2492;577
Октябрь;27000;623;7883
Октябрь;7500;2676;5324
Май;3000;2835;1706
Ксения;7500;1423;5084
Мария;6000;1695;4568
Октябрь;2000;2983;1351
Март;5000;2270;2582
Зоя;12000;116;7479
Февраль;22500;951;1258
Серый;14250;1032;4715
Ия;13000;2881;6859
Июль;7000;2377;1775
Март;1250;1214;4713
Аквамарин;2000;1430;1832
Декабрь;3750;2469;2740
Аквамарин;7500;52;7261
Октябрь;5500;2791;840
Полина;3000;2564;6823
Май;12750;771;4856
Зоя;27000;1881;4788
Темно-розовый;7500;2813;5294
Ярко-розовый;18000;570;5220
Апрель;15000;2940;5412
Октябрь;750;772;878
Синий;15000;381;2497
Май;10000;62;2200
Светло-синий;25500;2505;3685
Евдокия;19500;2766;94
Елена;6750;433;2318
Синий;3000;2478;1231
Июль;7000;2032;5993
Красный;13000;2879;2833
Васильковый;2000;1549;7675
Ия;15000;687;6742
Лукия;20000;2926;3641
Валерия;7000;856;4031
Июль;15000;1455;6950
Май;1250;84;2777
Темно-серый;16500;1166;2202
Апрель;4000;2901;1659
Март;9500;1370;2594
Лукия;10000;389;5871
Август;12000;700;1955
Агафья;2000;2906;5729
Февраль;7500;1852;7501
Июнь;18000;1000;5572
Клавдия;13000;2341;228
Ия;7500;1453;5000
Лидия;6000;389;2460
Коричневый;10000;2836;2595
Анжела;16500;1826;1761
Май;11000;2195;4339
Милица;13750;2403;995
Татьяна;3000;2977;94
Февраль;13000;2784;4970
Екатерина;7500;310;894
Оранжевый;23750;847;2394
Виктория;12000;409;4143
Наталья;5500;1418;2119
Май;21000;764;4814
Июнь;500;2923;165
Темно-красный;4500;2998;4369
Май;15000;2892;7818
Анна;1000;803;4779
Темно-зеленый;2250;1469;6288
Елена;8000;1184;7542
Нина;9000;235;4366
Бледно-зеленый;3500;130;39
Август;19000;1120;4015
Темно-оранжевый;12000;2446;7335
Ульяна;6000;2333;6339
Черный;7000;1642;2783
Ия;2250;2538;7775
Январь;30000;1403;1948
Любовь;1000;1981;2280
Анастасия;12000;1401;6413
Темно-красный;23750;1186;5494
Ноябрь;9000;2587;6365
Июнь;1500;1320;1398
Зоя;1250;2907;6040
Желтый;17000;249;2026
Ульяна;9000;1856;7574
Май;12750;1417;6656
Светло-синий;25000;1519;1913
Декабрь;18000;833;2479
Светло-синий;12000;768;49
Акулина;1000;1925;6830
Светло-желтый;14000;2441;1837
Светло-зеленый;6500;846;6882
Глафира;1500;2768;4866
Темно-красный;9000;1255;1354
Сентябрь;21250;553;2936
Темно-фиолетовый;5000;2819;4198
Валерия;10500;256;5135
Зинаида;6000;2167;7375
Зоя;8750;2289;7942
Фуксия;17000;1797;580
Апрель;3000;479;1767
Август;3750;563;7540
Оранжево-красный;2500;620;2753
Декабрь;11250;22;3476
Ноябрь;16000;2802;1954
Алевтина;12000;302;1441
Кира;21000;882;7869
Нинель;7500;2125;6468
Июль;17000;2079;6337
Апрель;28500;2173;6154
Август;10500;1027;2469
Марфа;3000;1445;891
Регина;19000;474;1178
Зоя;28500;2984;6188
Оксана;6500;647;7062
Марфа;1000;602;7826
Алина;18750;820;6677
Анастасия;7500;235;7368
Коричневый;3000;2110;4366
Ярко-розовый;17000;1453;6556
Клавдия;18750;2581;908
Февраль;19000;152;751
Светлана;4000;1477;7848
Темно-серый;750;1439;5856
Иванна;12750;2118;3682
Наталья;20000;590;7310
Июнь;25000;1969;7302
Сливовый;6250;989;6568
Людмила;8000;2754;3115
Агата;25000;1172;7588
Индиго;16250;1450;4168
Элеонора;3750;908;6437
Май;3000;1471;261
Март;15000;2173;6960
Эмилия;4000;513;6031
Февраль;17500;1121;6317
Ангелина;5250;1196;1230
Нина;5000;1899;2294
Сентябрь;23750;551;3470
Милица;15000;106;4530
Малиновый;19500;1391;5457
Октябрь;3750;856;2409
Александра;10000;1206;3489
Анастасия;9000;81;5676
Александра;3750;2335;1621
Юлия;15000;1860;2478
Темно-синий;5000;1495;1023
Елизавета;15000;500;4296
Апрель;9500;736;7609
Октябрь;7500;2881;7772
Оранжевый;6000;519;2963
Светло-голубой;8000;1421;820
Август;6500;116;6350
Серебряный;12000;2041;3054
Екатерина;9750;186;1144
Темно-зеленый;3000;890;1780
Май;19000;2971;1673
Бирюзовый;3000;631;5181
Феврония;6000;2002;6147
Глафира;7500;1522;2083
Мария;25000;2781;2462
Июль;6250;2787;4161
Черный;10500;703;7538
Ноябрь;25500;357;5497
Июль;27000;1993;2918
Апрель;10000;2238;6632
Милица;10000;2900;7466
Темно-зеленый;18000;686;6265
Октябрина;2000;684;3479
Ноябрь;8000;1557;3422
Темно-зеленый;1000;1642;6641
Апрель;1000;2541;2488
Сине-фиолетовый;6250;676;6241
Оранжевый;2250;2007;661
Черный;5250;2350;5952
Желто-зеленый;24000;213;6549
Елена;9000;814;6950
Акулина;7500;1957;5654
Слоновая кость;12000;2026;2748
Лариса;2500;114;4429
Светло-желтый;20000;2243;3460
Август;12000;88;1899
Таисия;6000;268;5565
Таисия;5000;733;1742
